"experiment","alpha","gamma","sign_gamma","abs_z","q_factor","q","log_val_double","log_val_mpfr","double_returned_nan","rel_err"
"cdf",0.5,-1,-1,1,1,0.309016994374947,-0.323197919529797,-0.323197919529796,FALSE,1.37404724169062e-15
"cdf",0.5,-1,-1,1,3,0.927050983124842,-0.0342292504979895,-0.0342292504979892,FALSE,9.12232143950006e-15
"cdf",0.5,1,1,1,0.333333333333333,0.269672331458316,-0.900557970424618,-0.900557970424618,FALSE,1.23281683254847e-16
"cdf",0.5,1,1,1,1,0.809016994374947,-0.285826307569588,-0.285826307569588,FALSE,0
"cdf",0.5,1,1,1,3,2.42705098312484,-0.00163355000544185,-0.00163355000544181,FALSE,2.80085283746878e-14
"cdf",0.5,2,1,2,0.333333333333333,0.402368927062182,-1.18576292856335,-1.18576292856335,FALSE,1.87258852150199e-16
"cdf",0.5,2,1,2,1,1.20710678118655,-0.314082461829722,-0.314082461829722,FALSE,1.76740690670442e-16
"cdf",0.5,2,1,2,3,3.62132034355964,-4.83772529751292e-05,-4.83772529749814e-05,FALSE,3.05397404164908e-12
"cdf",0.5,5,1,5,0.333333333333333,0.865430400594542,-3.85617592562622,-3.85617592562622,FALSE,2.3032621872818e-16
"cdf",0.5,5,1,5,1,2.59629120178363,-0.487848754012717,-0.487848754012716,FALSE,1.36545150376203e-15
"cdf",0.5,5,1,5,3,7.78887360535088,-2.04281036531029e-14,-2.05466982251907e-14,FALSE,0.00577195278715888
"cdf",0.5,8,1,8,0.333333333333333,1.35385093760294,-8.69711333087066,-8.69711333087066,FALSE,0
"cdf",0.5,8,1,8,1,4.06155281280883,-0.56130617742026,-0.561306177420256,FALSE,6.92274687595095e-15
"cdf",0.5,8,1,8,3,12.1846584384265,0,7.41412367154524e-16,FALSE,1
"cdf",0.5,10,1,10,0.333333333333333,1.68316991893213,-12.9238455173021,-12.9238455173021,FALSE,1.37448009342274e-16
"cdf",0.5,10,1,10,1,5.04950975679639,-0.586334547280469,-0.586334547280472,FALSE,5.86984238316024e-15
"cdf",0.5,10,1,10,3,15.1485292703892,0,-5.82337993692157e-16,FALSE,1
"cdf",0.5,15,1,15,0.333333333333333,2.51106216253513,-27.2174744565311,-27.2174744565311,FALSE,3.91591844916529e-16
"cdf",0.5,15,1,15,1,7.53318648760539,-0.620659969122002,-0.620659969122001,FALSE,8.94389101810208e-16
"cdf",0.5,15,1,15,3,22.5995594628162,0,-1.53170097939579e-15,FALSE,1
