"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
10,1,2,0.333333333333333,0.93042928249264,2,8.07108436846977e-05,8.07108436846977e-05,8.07108436846977e-05,8.07108436846977e-05,8.07108436846977e-05,FALSE,0,0,0,201,FALSE
0.3,1,5,0.333333333333333,0.85287507761008,5,0.028909133085472,0.028909133085472,0.028909133085472,0.028909133085472,0.028909133085472,FALSE,2.16021853545476e-15,1.68016997202037e-15,2.16021853545476e-15,200,FALSE
0.7,1,5,0.333333333333333,0.877643889531311,5,0.0162801624778819,0.0162801624775513,0.0162801624778819,0.0162801624778819,0.0162801624778819,FALSE,8.52435461050755e-16,2.0309061750669e-11,8.52435461050755e-16,203,FALSE
1,1,5,0.333333333333333,0.895380220544836,5,0.0114246508997108,0.0114246508997108,0.0114246508997108,0.0114246508997108,0.0114246508997108,FALSE,1.36656353186131e-15,4.55521177287102e-16,4.55521177287102e-16,203,FALSE
1.5,1,5,0.333333333333333,0.923563544191518,5,0.00664689233923045,0.00664689233923186,0.00664689233923045,0.00664689233923045,0.00664689233923044,FALSE,9.1343922182765e-16,2.12309373416227e-13,9.1343922182765e-16,203,FALSE
3,1,5,0.333333333333333,1,5,0.00152875711992156,0.00152875711992156,0.00152875711992156,0.00152875711992156,0.00152875711992156,FALSE,8.51045983713463e-16,1.70209196742693e-15,8.51045983713463e-16,204,FALSE
10,1,5,0.333333333333333,1.27057923049663,5,3.91029896155503e-06,3.91029896155503e-06,3.91029896155503e-06,3.91029896155503e-06,3.91029896155502e-06,FALSE,3.89908628482828e-15,3.89908628482828e-15,3.89908628482828e-15,205,FALSE
0.3,1,10,0.333333333333333,1.6766073760449,10,2.94962923850441e-06,2.94962923850447e-06,2.94962923850441e-06,2.9496292385044e-06,2.94962923850443e-06,FALSE,6.74839874809783e-15,1.46454611128932e-14,6.74839874809783e-15,215,FALSE
0.7,1,10,0.333333333333333,1.68968217191101,10,2.01872716218435e-06,2.01872716218434e-06,2.01872716218435e-06,2.01872716218434e-06,2.01872716218436e-06,FALSE,5.24484538525857e-15,1.06994845859275e-14,5.24484538525857e-15,215,FALSE
1,1,10,0.333333333333333,1.69935873711777,10,1.52212319314864e-06,1.52212319314863e-06,1.52212319314863e-06,1.52212319314863e-06,1.52212319314863e-06,FALSE,4.31272933148179e-15,1.11296240812433e-15,2.78240602031083e-15,215,FALSE
